Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.9825,1.0,0.9912,225
Decision Trees (LightGBM),chemical,1.0,0.9778,0.9888,225
Decision Trees (LightGBM),electric,1.0,0.9822,0.991,225
Decision Trees (LightGBM),impulsive,0.9783,1.0,0.989,225
Decision Trees (LightGBM),macro_avg,0.9902,0.99,0.99,900
Decision Trees (LightGBM),weighted_avg,0.9902,0.99,0.99,900
Decision Trees (LightGBM),t_no_thrust,225.0,0.0,0.0,0
Decision Trees (LightGBM),t_chemical,0.0,220.0,0.0,5
Decision Trees (LightGBM),t_electric,4.0,0.0,221.0,0
Decision Trees (LightGBM),t_impulsive,0.0,0.0,0.0,225
MiniRocket,no_thrust,0.9868,1.0,0.9934,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,0.9867,0.9933,225
MiniRocket,impulsive,1.0,1.0,1.0,225
MiniRocket,macro_avg,0.9967,0.9967,0.9967,900
MiniRocket,weighted_avg,0.9967,0.9967,0.9967,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,3.0,0.0,222.0,0
MiniRocket,t_impulsive,0.0,0.0,0.0,225
LSTM,no_thrust,0.9868,1.0,0.9934,225
LSTM,chemical,0.9868,1.0,0.9934,225
LSTM,electric,1.0,0.9733,0.9865,225
LSTM,impulsive,1.0,1.0,1.0,225
LSTM,macro_avg,0.9934,0.9933,0.9933,900
LSTM,weighted_avg,0.9934,0.9933,0.9933,900
LSTM,t_no_thrust,225.0,0.0,0.0,0
LSTM,t_chemical,0.0,225.0,0.0,0
LSTM,t_electric,3.0,3.0,219.0,0
LSTM,t_impulsive,0.0,0.0,0.0,225
Mamba,no_thrust,0.9867,0.9911,0.9889,225
Mamba,chemical,0.9739,0.9956,0.9846,225
Mamba,electric,0.9863,0.96,0.973,225
Mamba,impulsive,1.0,1.0,1.0,225
Mamba,macro_avg,0.9867,0.9867,0.9866,900
Mamba,weighted_avg,0.9867,0.9867,0.9866,900
Mamba,t_no_thrust,223.0,0.0,2.0,0
Mamba,t_chemical,0.0,224.0,1.0,0
Mamba,t_electric,3.0,6.0,216.0,0
Mamba,t_impulsive,0.0,0.0,0.0,225
Transformer,no_thrust,0.9868,1.0,0.9934,225
Transformer,chemical,1.0,1.0,1.0,225
Transformer,electric,1.0,0.9867,0.9933,225
Transformer,impulsive,1.0,1.0,1.0,225
Transformer,macro_avg,0.9967,0.9967,0.9967,900
Transformer,weighted_avg,0.9967,0.9967,0.9967,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,0.0,225.0,0.0,0
Transformer,t_electric,3.0,0.0,222.0,0
Transformer,t_impulsive,0.0,0.0,0.0,225
1D-CNN (InceptionTime),no_thrust,0.9868,1.0,0.9934,225
1D-CNN (InceptionTime),chemical,0.9783,1.0,0.989,225
1D-CNN (InceptionTime),electric,1.0,0.9644,0.9819,225
1D-CNN (InceptionTime),impulsive,1.0,1.0,1.0,225
1D-CNN (InceptionTime),macro_avg,0.9913,0.9911,0.9911,900
1D-CNN (InceptionTime),weighted_avg,0.9913,0.9911,0.9911,900
1D-CNN (InceptionTime),t_no_thrust,225.0,0.0,0.0,0
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,3.0,5.0,217.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,0.0,225
