Model,label,precision,recall,f1,support
Decision Trees (LightGBM),no_thrust,0.9612,0.9911,0.9759,225
Decision Trees (LightGBM),chemical,0.8552,0.84,0.8475,225
Decision Trees (LightGBM),electric,0.7333,0.8311,0.7792,225
Decision Trees (LightGBM),impulsive,0.776,0.6622,0.7146,225
Decision Trees (LightGBM),macro_avg,0.8314,0.8311,0.8293,900
Decision Trees (LightGBM),weighted_avg,0.8314,0.8311,0.8293,900
Decision Trees (LightGBM),t_no_thrust,223.0,0.0,2.0,0
Decision Trees (LightGBM),t_chemical,0.0,189.0,10.0,26
Decision Trees (LightGBM),t_electric,5.0,16.0,187.0,17
Decision Trees (LightGBM),t_impulsive,4.0,16.0,56.0,149
MiniRocket,no_thrust,0.9956,1.0,0.9978,225
MiniRocket,chemical,1.0,1.0,1.0,225
MiniRocket,electric,1.0,1.0,1.0,225
MiniRocket,impulsive,1.0,0.9956,0.9978,225
MiniRocket,macro_avg,0.9989,0.9989,0.9989,900
MiniRocket,weighted_avg,0.9989,0.9989,0.9989,900
MiniRocket,t_no_thrust,225.0,0.0,0.0,0
MiniRocket,t_chemical,0.0,225.0,0.0,0
MiniRocket,t_electric,0.0,0.0,225.0,0
MiniRocket,t_impulsive,1.0,0.0,0.0,224
LSTM,no_thrust,0.9602,0.9644,0.9623,225
LSTM,chemical,0.9641,0.9556,0.9598,225
LSTM,electric,0.9404,0.9111,0.9255,225
LSTM,impulsive,0.9099,0.9422,0.9258,225
LSTM,macro_avg,0.9436,0.9433,0.9433,900
LSTM,weighted_avg,0.9436,0.9433,0.9433,900
LSTM,t_no_thrust,217.0,0.0,5.0,3
LSTM,t_chemical,0.0,215.0,1.0,9
LSTM,t_electric,7.0,4.0,205.0,9
LSTM,t_impulsive,2.0,4.0,7.0,212
Mamba,no_thrust,0.991,0.9822,0.9866,225
Mamba,chemical,0.8333,0.8222,0.8277,225
Mamba,electric,0.4348,0.4444,0.4396,225
Mamba,impulsive,0.5244,0.5244,0.5244,225
Mamba,macro_avg,0.6959,0.6933,0.6946,900
Mamba,weighted_avg,0.6959,0.6933,0.6946,900
Mamba,t_no_thrust,221.0,0.0,2.0,2
Mamba,t_chemical,0.0,185.0,34.0,6
Mamba,t_electric,1.0,25.0,100.0,99
Mamba,t_impulsive,1.0,12.0,94.0,118
Transformer,no_thrust,1.0,1.0,1.0,225
Transformer,chemical,0.9905,0.9289,0.9587,225
Transformer,electric,0.9956,1.0,0.9978,225
Transformer,impulsive,0.937,0.9911,0.9633,225
Transformer,macro_avg,0.9808,0.98,0.9799,900
Transformer,weighted_avg,0.9808,0.98,0.9799,900
Transformer,t_no_thrust,225.0,0.0,0.0,0
Transformer,t_chemical,0.0,209.0,1.0,15
Transformer,t_electric,0.0,0.0,225.0,0
Transformer,t_impulsive,0.0,2.0,0.0,223
1D-CNN (InceptionTime),no_thrust,1.0,1.0,1.0,225
1D-CNN (InceptionTime),chemical,1.0,1.0,1.0,225
1D-CNN (InceptionTime),electric,1.0,1.0,1.0,225
1D-CNN (InceptionTime),impulsive,1.0,1.0,1.0,225
1D-CNN (InceptionTime),macro_avg,1.0,1.0,1.0,900
1D-CNN (InceptionTime),weighted_avg,1.0,1.0,1.0,900
1D-CNN (InceptionTime),t_no_thrust,225.0,0.0,0.0,0
1D-CNN (InceptionTime),t_chemical,0.0,225.0,0.0,0
1D-CNN (InceptionTime),t_electric,0.0,0.0,225.0,0
1D-CNN (InceptionTime),t_impulsive,0.0,0.0,0.0,225
